epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,668.461,1.22943,2.06846,1.29087,0.9056,0.91572,0.96153,0.42596,1.01127,3.68028,0.75442,0.000660767,0.000660767,0.000660767
2,1406.19,1.21276,1.24553,1.22668,0.9134,0.86792,0.91199,0.32049,1.37085,2.66503,0.90222,0.00128363,0.00128363,0.00128363
3,2242.9,1.17234,0.96204,1.20629,0.96716,0.83358,0.84952,0.39882,0.9816,1.40701,0.7242,0.00186249,0.00186249,0.00186249
4,4219.62,1.14006,0.78783,1.16699,0.9639,0.93119,0.94076,0.43771,1.03859,1.44497,0.74033,0.001802,0.001802,0.001802
5,4954.33,1.12755,0.7503,1.15941,0.97997,0.97727,0.98418,0.45669,1.00787,1.0761,0.72579,0.001736,0.001736,0.001736
6,5678.62,1.10302,0.69549,1.1409,0.91057,0.9436,0.97524,0.46372,1.02327,1.4523,0.73214,0.00167,0.00167,0.00167
7,6424.54,1.05747,0.65025,1.1171,0.99599,0.99556,0.99499,0.45133,0.91721,0.89371,0.69233,0.001604,0.001604,0.001604
8,7172.9,1.05328,0.63597,1.12254,0.98836,0.99667,0.99441,0.48116,0.92131,0.92613,0.69475,0.001538,0.001538,0.001538
9,7953.77,1.02775,0.60638,1.1068,0.98798,0.99168,0.99461,0.45364,0.97263,1.1699,0.70719,0.001472,0.001472,0.001472
10,9820.5,1.01274,0.60118,1.10492,0.9994,0.99945,0.995,0.61013,0.9163,0.80567,0.68305,0.001406,0.001406,0.001406
11,10575.6,0.98505,0.57924,1.08779,0.99316,0.99945,0.99493,0.54493,0.8554,0.76105,0.66658,0.00134,0.00134,0.00134
12,11368.8,0.96201,0.54569,1.08447,0.99939,0.99945,0.995,0.52542,0.82763,0.7306,0.65877,0.001274,0.001274,0.001274
13,12192.6,0.96806,0.54096,1.08957,0.99889,0.99811,0.99498,0.52556,0.84646,0.74314,0.66482,0.001208,0.001208,0.001208
14,13008.7,0.94403,0.51743,1.07127,0.99987,0.99945,0.995,0.51786,0.79313,0.72838,0.64472,0.001142,0.001142,0.001142
15,13851.7,0.93001,0.51343,1.06857,1,0.99807,0.995,0.62154,0.8205,0.70987,0.6581,0.001076,0.001076,0.001076
16,14732.4,0.93289,0.50547,1.06369,0.99962,0.99945,0.995,0.63927,0.80144,0.68984,0.65105,0.00101,0.00101,0.00101
17,15617.7,0.93316,0.50555,1.0747,0.99995,0.99945,0.995,0.58839,0.80226,0.6659,0.6519,0.000944,0.000944,0.000944
18,16484.6,0.91503,0.48674,1.05866,0.99994,0.99945,0.995,0.56065,0.80007,0.67006,0.64632,0.000878,0.000878,0.000878
19,17690.1,0.90283,0.48176,1.05051,0.9994,0.99945,0.995,0.59855,0.78203,0.64437,0.64053,0.000812,0.000812,0.000812
20,18568.4,0.87906,0.47084,1.04409,0.99933,0.99945,0.995,0.59333,0.75906,0.64158,0.63667,0.000746,0.000746,0.000746
21,19444.7,0.7693,0.34772,1.00434,0.99993,0.99945,0.995,0.69955,0.77935,0.63354,0.64447,0.00068,0.00068,0.00068
22,20329.7,0.78311,0.34537,1.02249,0.99982,0.99945,0.995,0.72693,0.77146,0.6295,0.63949,0.000614,0.000614,0.000614
23,21192.8,0.75395,0.33452,0.99597,1,0.99942,0.995,0.79523,0.75916,0.63036,0.63682,0.000548,0.000548,0.000548
24,22122.6,0.74557,0.33541,0.99689,0.99993,0.99945,0.995,0.66585,0.7402,0.59087,0.63076,0.000482,0.000482,0.000482
25,23002.5,0.72146,0.31714,0.98504,0.99985,0.99945,0.995,0.7399,0.73622,0.5904,0.6298,0.000416,0.000416,0.000416
26,23891.2,0.72969,0.31649,0.99478,0.99995,0.99945,0.995,0.77736,0.75819,0.59211,0.63325,0.00035,0.00035,0.00035
27,24794.4,0.71155,0.30701,0.98997,0.99988,0.99945,0.995,0.73359,0.72822,0.56071,0.62296,0.000284,0.000284,0.000284
28,25690.4,0.70195,0.29814,0.98044,0.99994,0.99945,0.995,0.74855,0.70054,0.54753,0.62118,0.000218,0.000218,0.000218
29,26594.9,0.68699,0.29119,0.97707,0.99996,0.99945,0.995,0.83446,0.69347,0.53007,0.61707,0.000152,0.000152,0.000152
30,27527.8,0.6799,0.28316,0.96943,0.99996,0.99945,0.995,0.83753,0.69571,0.52461,0.6174,8.6e-05,8.6e-05,8.6e-05
