epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.062,1.57025,3.24584,1.70065,0.00702,1,0.12596,0.05223,1.306,3.15371,1.39425,0.00013336,0.00013336,0.00013336
2,34.0933,1.26857,2.89142,1.44128,0.00715,1,0.62049,0.31391,1.13173,3.00676,1.2307,0.000274038,0.000274038,0.000274038
3,45.8493,1.22735,2.37625,1.39456,0.00706,1,0.66002,0.3563,1.16374,2.89663,1.23611,0.000404814,0.000404814,0.000404814
4,58.0974,1.2862,1.97501,1.40807,1,0.10726,0.85552,0.46666,1.1578,2.76508,1.30607,0.000525688,0.000525688,0.000525688
5,70.5768,1.27848,1.75054,1.44258,0.65931,0.91241,0.84896,0.48786,1.18115,2.74287,1.3133,0.000636661,0.000636661,0.000636661
6,82.7867,1.26953,1.68301,1.42727,0.94886,0.9036,0.98859,0.60914,1.23927,1.9043,1.34534,0.000737731,0.000737731,0.000737731
7,95.2116,1.28799,1.55709,1.44133,0.84807,0.57351,0.8116,0.35167,1.43385,2.39345,1.47732,0.000828899,0.000828899,0.000828899
8,107.296,1.31222,1.52556,1.39248,0.91052,0.83183,0.93357,0.53504,1.23991,1.97845,1.33241,0.000910165,0.000910165,0.000910165
9,119.865,1.24983,1.43995,1.36366,0.76282,0.53393,0.72826,0.33826,1.37175,2.4157,1.36764,0.00098153,0.00098153,0.00098153
10,134.493,1.28037,1.39029,1.35102,0.60742,0.4708,0.54118,0.25293,1.46245,2.4657,1.47131,0.00104299,0.00104299,0.00104299
11,150.266,1.17385,1.29926,1.293,0.82179,0.75679,0.87955,0.51449,1.29659,1.70072,1.39925,0.00109455,0.00109455,0.00109455
12,172.7,1.16539,1.2109,1.26608,0.92999,0.96642,0.98467,0.62056,1.20104,1.23343,1.31636,0.00106188,0.00106188,0.00106188
13,198.11,1.18689,1.2389,1.31496,0.96546,0.96228,0.99021,0.63992,1.17308,1.19938,1.25226,0.00100687,0.00100687,0.00100687
14,224.844,1.19334,1.12921,1.27699,0.88069,0.91606,0.914,0.48535,1.39349,1.3418,1.4163,0.000951857,0.000951857,0.000951857
15,252.761,1.17028,1.17948,1.29441,0.96356,0.79236,0.80412,0.54541,1.07636,1.08917,1.20014,0.000896846,0.000896846,0.000896846
16,280.662,1.20664,1.14769,1.29161,0.94801,0.64796,0.66652,0.41477,1.21494,1.05986,1.26734,0.000841835,0.000841835,0.000841835
17,309.918,1.13732,1.08776,1.26708,0.96884,0.59854,0.60328,0.40378,1.10774,0.98696,1.19266,0.000786824,0.000786824,0.000786824
18,341.337,1.12129,1.06138,1.23867,0.98446,0.60584,0.61878,0.43641,1.04418,0.97909,1.16144,0.000731813,0.000731813,0.000731813
19,373.092,1.0673,0.9955,1.22149,0.95644,0.5424,0.55751,0.38298,1.18506,1.04722,1.25144,0.000676802,0.000676802,0.000676802
20,404.914,1.08947,1.00014,1.22376,0.99012,0.48175,0.48673,0.35617,0.96468,0.86336,1.10934,0.000621791,0.000621791,0.000621791
21,436.974,1.09124,1.21385,1.24153,0.97653,0.51319,0.53286,0.37125,1.05679,1.00891,1.16201,0.00056678,0.00056678,0.00056678
22,468.794,1.07049,1.13241,1.17697,0.88464,0.4795,0.49905,0.33872,1.10147,1.09687,1.18653,0.000511769,0.000511769,0.000511769
23,499.854,1.01968,1.05298,1.15316,0.98164,0.50276,0.50631,0.37144,0.99436,0.8524,1.11917,0.000456758,0.000456758,0.000456758
24,530.799,1.04382,0.99418,1.16674,0.99656,0.4927,0.49663,0.36506,1.021,0.78973,1.15277,0.000401747,0.000401747,0.000401747
25,561.594,1.00653,0.99434,1.15851,0.97624,0.53151,0.53655,0.39977,0.95907,0.75965,1.10293,0.000346736,0.000346736,0.000346736
26,591.94,1.01542,0.96803,1.17117,0.98273,0.60415,0.60632,0.45128,0.93065,0.71552,1.07939,0.000291725,0.000291725,0.000291725
27,622.694,1.00466,0.93255,1.15541,0.991,0.58394,0.58638,0.45212,0.8927,0.69002,1.05968,0.000236714,0.000236714,0.000236714
28,653.357,1.00481,0.93791,1.16784,0.99756,0.60584,0.60632,0.46572,0.87491,0.6771,1.0485,0.000181703,0.000181703,0.000181703
29,682.396,0.93537,0.87479,1.14178,0.99749,0.67153,0.67607,0.52332,0.84042,0.67064,1.03599,0.000126692,0.000126692,0.000126692
30,712.665,0.95189,0.93021,1.13396,0.99835,0.71533,0.71595,0.55868,0.83593,0.66681,1.03416,7.1681e-05,7.1681e-05,7.1681e-05
