epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6108,1.11358,3.55216,0.92244,0.01211,1,0.37534,0.24691,0.98414,3.67925,0.82112,0.00011669,0.00011669,0.00011669
2,24.317,1.07022,2.24157,0.90475,0.01157,1,0.54818,0.32569,0.94918,3.54981,0.8154,0.000247575,0.000247575,0.000247575
3,34.8415,1.07029,1.21639,0.92196,0.01058,1,0.52263,0.24509,1.01388,3.48572,0.84075,0.000375818,0.000375818,0.000375818
4,45.2997,1.02843,1.0412,0.9042,0.01034,1,0.17661,0.07581,0.95935,3.46944,0.84521,0.000501422,0.000501422,0.000501422
5,55.5083,1.04974,0.98696,0.91828,0.01056,1,0.01405,0.00928,0.97351,3.44478,0.84929,0.000624385,0.000624385,0.000624385
6,66.6076,1.01403,0.92539,0.92796,0.01096,1,0.01535,0.01045,0.97118,3.4026,0.85586,0.000744707,0.000744707,0.000744707
7,77.6382,1.00847,0.91664,0.90696,0.01178,1,0.11728,0.08926,0.99297,3.35781,0.85797,0.000862389,0.000862389,0.000862389
8,89.4246,1.03292,0.91197,0.91656,0.0109,1,0.68983,0.50118,0.97508,3.06813,0.85826,0.00097743,0.00097743,0.00097743
9,100.737,0.99285,0.89629,0.91645,0.0111,1,0.7242,0.53038,0.95622,3.02693,0.84937,0.00108983,0.00108983,0.00108983
10,112.012,1.03845,0.86645,0.91487,0.01091,1,0.99305,0.65771,0.97683,2.73579,0.85701,0.00119959,0.00119959,0.00119959
11,125.015,1.00687,0.86786,0.90542,1,0.35932,0.9668,0.70145,0.97026,2.62948,0.86415,0.00130671,0.00130671,0.00130671
12,137.336,0.96311,0.82946,0.90681,0.99761,0.5,0.995,0.73824,0.98828,2.02716,0.89026,0.00141119,0.00141119,0.00141119
13,151.185,0.97999,0.81563,0.90195,0.99867,0.50287,0.995,0.73359,0.94138,1.8851,0.87941,0.00146896,0.00146896,0.00146896
14,166.001,0.95833,0.7786,0.91147,0.99642,0.9995,0.995,0.7465,0.9319,1.51981,0.88111,0.00145246,0.00145246,0.00145246
15,181.736,0.95547,0.76025,0.91427,0.99678,1,0.995,0.74545,0.95564,1.25919,0.89286,0.00143595,0.00143595,0.00143595
16,198.905,0.9688,0.75312,0.91377,0.99684,1,0.995,0.75316,0.90447,1.2506,0.87842,0.00141945,0.00141945,0.00141945
17,215.75,0.90805,0.71303,0.90546,0.99727,1,0.995,0.76029,0.87518,1.02189,0.8758,0.00140295,0.00140295,0.00140295
18,234.624,0.90837,0.72433,0.89149,0.99775,1,0.995,0.73076,0.93124,0.88002,0.87933,0.00138644,0.00138644,0.00138644
19,253.682,0.93288,0.72327,0.89748,0.99627,1,0.995,0.75832,0.9106,0.84381,0.88117,0.00136994,0.00136994,0.00136994
20,274.505,0.90507,0.68343,0.89234,0.99917,0.99187,0.995,0.76908,0.89202,0.67764,0.87861,0.00135344,0.00135344,0.00135344
21,297.811,0.91234,0.6892,0.89855,0.99918,0.91057,0.91547,0.70675,0.91593,0.67445,0.88456,0.00133693,0.00133693,0.00133693
22,325.13,0.91595,0.67891,0.88338,0.99805,0.8374,0.83598,0.63968,0.91492,0.71473,0.88735,0.00132043,0.00132043,0.00132043
23,351.036,0.94528,0.68533,0.90695,0.99902,0.65041,0.657,0.49634,0.91741,0.64591,0.87936,0.00130393,0.00130393,0.00130393
24,378.64,0.91145,0.67218,0.90014,0.999,0.74797,0.74651,0.5742,0.87954,0.5874,0.87074,0.00128742,0.00128742,0.00128742
25,403.088,0.92179,0.64518,0.88555,0.99917,1,0.995,0.77459,0.91431,0.62891,0.88714,0.00127092,0.00127092,0.00127092
26,430.978,0.90446,0.66561,0.89837,0.99896,0.68293,0.68692,0.53683,0.86853,0.59158,0.87171,0.00125442,0.00125442,0.00125442
27,457.734,0.8866,0.62504,0.88683,0.99937,0.6748,0.67686,0.53095,0.87858,0.55708,0.87316,0.00123791,0.00123791,0.00123791
28,485.853,0.90349,0.62484,0.87185,0.9987,0.72358,0.72651,0.5519,0.94637,0.57624,0.88613,0.00122141,0.00122141,0.00122141
29,515.888,0.92612,0.63478,0.89009,0.99855,0.73984,0.73653,0.56923,0.89671,0.59654,0.88034,0.00120491,0.00120491,0.00120491
30,536.531,0.92027,0.62316,0.89138,0.99955,1,0.995,0.768,0.89764,0.5547,0.87944,0.0011884,0.0011884,0.0011884
31,553.544,0.89885,0.61209,0.88353,0.99923,1,0.995,0.77802,0.85427,0.58881,0.87489,0.0011719,0.0011719,0.0011719
32,568.508,0.87116,0.59112,0.89525,0.99901,1,0.995,0.76896,0.89077,0.55936,0.87989,0.0011554,0.0011554,0.0011554
33,591.411,0.90748,0.59785,0.88248,0.99939,0.98374,0.98509,0.76508,0.873,0.56443,0.8744,0.00113889,0.00113889,0.00113889
34,617.636,0.87959,0.58492,0.88132,0.99929,0.78862,0.78708,0.61863,0.85811,0.58788,0.8743,0.00112239,0.00112239,0.00112239
35,644.196,0.89337,0.59146,0.87357,0.99919,0.69919,0.69755,0.5463,0.87423,0.54572,0.87797,0.00110589,0.00110589,0.00110589
36,674.335,0.89307,0.58154,0.87847,0.99877,0.62602,0.6278,0.47368,0.93286,0.56667,0.8871,0.00108938,0.00108938,0.00108938
37,699.016,0.86668,0.57349,0.87963,0.99898,0.91057,0.91566,0.7173,0.8519,0.53945,0.87371,0.00107288,0.00107288,0.00107288
38,737.847,0.88,0.56382,0.86759,0.99941,0.92683,0.92565,0.71126,0.90431,0.52255,0.8854,0.00105638,0.00105638,0.00105638
39,771.751,0.87263,0.55175,0.88135,0.99946,0.91057,0.91578,0.70813,0.8734,0.51795,0.8721,0.00103987,0.00103987,0.00103987
40,805.225,0.84723,0.54568,0.87545,0.99894,0.91057,0.9158,0.7153,0.88154,0.51803,0.87395,0.00102337,0.00102337,0.00102337
41,841.57,0.90357,0.55537,0.88585,0.99952,0.88618,0.88608,0.67526,0.90395,0.53752,0.87827,0.00100687,0.00100687,0.00100687
42,878.919,0.89203,0.56798,0.87405,0.99862,0.64228,0.64833,0.5024,0.84276,0.53352,0.864,0.000990365,0.000990365,0.000990365
43,918.491,0.8715,0.55579,0.88655,0.99818,0.4065,0.41084,0.32132,0.85436,0.52316,0.87137,0.000973861,0.000973861,0.000973861
44,963.734,0.87212,0.53928,0.8797,0.9986,0.34959,0.35227,0.28469,0.82396,0.50237,0.86429,0.000957358,0.000957358,0.000957358
45,1012.24,0.893,0.56227,0.8925,0.99893,0.4065,0.41271,0.32825,0.837,0.49335,0.8658,0.000940855,0.000940855,0.000940855
46,1065.28,0.86145,0.54447,0.88043,0.99796,0.4065,0.41714,0.33331,0.84482,0.47744,0.87263,0.000924352,0.000924352,0.000924352
